x,y,STATION_NAME,CLIMATE_IDENTIFIER,ID,LOCAL_DATE,PROVINCE_CODE,LOCAL_YEAR,LOCAL_MONTH,LOCAL_DAY,MEAN_TEMPERATURE,MEAN_TEMPERATURE_FLAG,MIN_TEMPERATURE,MIN_TEMPERATURE_FLAG,MAX_TEMPERATURE,MAX_TEMPERATURE_FLAG,TOTAL_PRECIPITATION,TOTAL_PRECIPITATION_FLAG,TOTAL_RAIN,TOTAL_RAIN_FLAG,TOTAL_SNOW,TOTAL_SNOW_FLAG,SNOW_ON_GROUND,SNOW_ON_GROUND_FLAG,DIRECTION_MAX_GUST,DIRECTION_MAX_GUST_FLAG,SPEED_MAX_GUST,SPEED_MAX_GUST_FLAG,COOLING_DEGREE_DAYS,COOLING_DEGREE_DAYS_FLAG,HEATING_DEGREE_DAYS,HEATING_DEGREE_DAYS_FLAG,MIN_REL_HUMIDITY,MIN_REL_HUMIDITY_FLAG,MAX_REL_HUMIDITY,MAX_REL_HUMIDITY_FLAG
-114.00029722222222,51.10944722222222,CALGARY INT'L CS,3031094,3031094.2016.3.1,2016-03-01 00:00:00,AB,2016,3,1,-0.6,,-6.9,,5.8,,0.2,,,M,,M,1,,19,,35,,0,,18.6,,,,,
-114.00029722222222,51.10944722222222,CALGARY INT'L CS,3031094,3031094.2016.3.2,2016-03-02 00:00:00,AB,2016,3,2,-1.3,,-4.1,,1.6,,0,,,M,,M,1,,19,,33,,0,,19.3,,,,,
-114.00029722222222,51.10944722222222,CALGARY INT'L CS,3031094,3031094.2016.3.3,2016-03-03 00:00:00,AB,2016,3,3,4,,-4.3,,12.3,,0,,,M,,M,1,,27,,57,,0,,14,,,,,
-114.00029722222222,51.10944722222222,CALGARY INT'L CS,3031094,3031094.2016.3.4,2016-03-04 00:00:00,AB,2016,3,4,3.8,,-5.2,,12.8,,0,,,M,,M,0,T,0,,0,,0,,14.2,,,,,
-114.00029722222222,51.10944722222222,CALGARY INT'L CS,3031094,3031094.2016.3.5,2016-03-05 00:00:00,AB,2016,3,5,6.6,,-3.7,,16.8,,0,,,M,,M,1,,29,,57,,0,,11.4,,,,,
-114.00029722222222,51.10944722222222,CALGARY INT'L CS,3031094,3031094.2016.3.6,2016-03-06 00:00:00,AB,2016,3,6,4,,-1.9,,9.8,,0,,,M,,M,0,T,14,,33,,0,,14,,,,,
-114.00029722222222,51.10944722222222,CALGARY INT'L CS,3031094,3031094.2016.3.7,2016-03-07 00:00:00,AB,2016,3,7,3.9,,-3.7,,11.5,,0,,,M,,M,0,T,29,,33,,0,,14.1,,,,,
-114.00029722222222,51.10944722222222,CALGARY INT'L CS,3031094,3031094.2016.3.8,2016-03-08 00:00:00,AB,2016,3,8,2.6,,-4,,9.1,,0,,,M,,M,1,,28,,37,,0,,15.4,,,,,
-114.00029722222222,51.10944722222222,CALGARY INT'L CS,3031094,3031094.2016.3.9,2016-03-09 00:00:00,AB,2016,3,9,1,,-7.5,,9.4,,0,,,M,,M,1,,0,,0,,0,,17,,,,,
-114.00029722222222,51.10944722222222,CALGARY INT'L CS,3031094,3031094.2016.3.10,2016-03-10 00:00:00,AB,2016,3,10,6.5,,-2.8,,15.8,,0,,,M,,M,0,T,25,,83,,0,,11.5,,,,,
-114.00029722222222,51.10944722222222,CALGARY INT'L CS,3031094,3031094.2016.3.11,2016-03-11 00:00:00,AB,2016,3,11,5.3,,-1.7,,12.3,,0,,,M,,M,1,,15,,39,,0,,12.7,,,,,
-114.00029722222222,51.10944722222222,CALGARY INT'L CS,3031094,3031094.2016.3.12,2016-03-12 00:00:00,AB,2016,3,12,6.9,,-1.2,,15,,0,,,M,,M,1,,28,,39,,0,,11.1,,,,,
-114.00029722222222,51.10944722222222,CALGARY INT'L CS,3031094,3031094.2016.3.13,2016-03-13 00:00:00,AB,2016,3,13,4.1,,-1.5,,9.6,,0,,,M,,M,1,,24,,56,,0,,13.9,,,,,
-114.00029722222222,51.10944722222222,CALGARY INT'L CS,3031094,3031094.2016.3.14,2016-03-14 00:00:00,AB,2016,3,14,0.6,,-5.4,,6.5,,0,,,M,,M,1,,1,,41,,0,,17.4,,,,,
-114.00029722222222,51.10944722222222,CALGARY INT'L CS,3031094,3031094.2016.3.15,2016-03-15 00:00:00,AB,2016,3,15,-0.1,,-5.8,,5.7,,0,,,M,,M,1,,30,,50,,0,,18.1,,,,,
-114.00029722222222,51.10944722222222,CALGARY INT'L CS,3031094,3031094.2016.3.16,2016-03-16 00:00:00,AB,2016,3,16,2.5,,-2.2,,7.1,,0,,,M,,M,0,T,36,,50,,0,,15.5,,,,,
-114.00029722222222,51.10944722222222,CALGARY INT'L CS,3031094,3031094.2016.3.17,2016-03-17 00:00:00,AB,2016,3,17,-1.6,,-4.6,,1.5,,0.5,,,M,,M,0,T,36,,44,,0,,19.6,,,,,
