,date,incident_info,mean_temperature,min_temperature,max_temperature,total_precipitation,snow_on_ground
0,2018-07-05,18,17.0,8.3,25.6,0.0,0.0
1,2018-07-06,18,22.5,12.1,32.9,0.2,0.0
2,2018-07-07,11,17.7,10.7,24.6,0.0,0.0
3,2018-07-08,7,15.2,6.2,24.2,0.0,0.0
4,2018-07-09,21,18.3,9.0,27.7,0.0,0.0
5,2018-07-10,17,15.6,9.6,21.6,7.5,0.0
6,2018-07-11,17,18.6,12.0,25.2,0.4,0.0
7,2018-07-12,19,17.9,9.3,26.5,0.0,0.0
8,2018-07-13,22,20.6,9.7,31.6,0.0,0.0
9,2018-07-14,15,14.4,7.7,21.0,2.3,0.0
10,2018-07-15,9,16.1,6.3,25.9,0.0,0.0
11,2018-07-16,23,19.9,9.5,30.2,0.0,0.0
12,2018-07-17,12,21.5,12.1,30.9,0.0,0.0
13,2018-07-18,18,19.0,13.6,24.4,1.6,0.0
14,2018-07-19,25,18.8,11.7,26.0,0.4,0.0
15,2018-07-20,25,19.7,9.8,29.6,0.0,0.0
16,2018-07-21,13,15.7,7.3,24.0,0.0,0.0
17,2018-07-22,8,16.1,9.7,22.6,0.0,0.0
18,2018-07-23,17,15.8,9.0,22.7,1.6,0.0
19,2018-07-24,28,13.3,11.3,15.3,6.4,0.0
20,2018-07-25,23,15.0,8.2,21.8,0.2,0.0
21,2018-07-26,16,17.1,10.0,24.3,2.2,0.0
22,2018-07-27,17,15.7,8.9,22.4,0.2,0.0
23,2018-07-28,15,16.4,7.4,25.4,0.0,0.0
24,2018-07-29,9,18.9,9.3,28.5,0.0,0.0
25,2018-07-30,20,21.3,10.4,32.1,0.0,0.0
26,2018-07-31,23,18.4,10.9,26.0,0.0,0.0
27,2018-08-01,18,21.1,13.2,29.1,11.2,0.0
28,2018-08-02,18,17.5,12.4,22.5,3.0,0.0
29,2018-08-03,19,17.7,10.7,24.7,3.3,0.0
30,2018-08-04,8,15.3,13.1,17.4,1.6,0.0
31,2018-08-05,10,17.0,10.5,23.5,0.4,0.0
32,2018-08-06,9,19.5,9.9,29.0,0.2,0.0
33,2018-08-07,8,22.3,15.7,28.9,0.0,0.0
34,2018-08-08,16,19.6,9.6,29.7,0.0,0.0
35,2018-08-09,14,23.0,12.0,34.1,0.5,0.0
36,2018-08-10,21,25.5,14.4,36.7,0.0,0.0
